id,timestamp,timestamp,sequence,byte1,byte8,byte6,byte3,can_id,byte4,byte2,byte5,byte7
6,1761572698258,1761572698258,30019,84,16,0,160,418449104,255,20,0,0
6,1761572698238,1761572698238,29997,0,125,255,0,419373295,0,125,125,255
6,1761572698238,1761572698238,29998,224,255,255,255,419283979,243,8,255,255
6,1761572698238,1761572698238,29999,0,255,255,255,215101223,255,0,255,0
6,1761572698238,1761572698238,30000,255,125,96,255,418384139,112,255,125,126
6,1761572698238,1761572698238,30001,255,255,255,111,419343920,111,255,255,255
6,1761572698238,1761572698238,30002,0,0,0,0,150892043,0,0,0,0
6,1761572698238,1761572698238,30003,0,125,255,0,419373295,0,125,125,255
6,1761572698238,1761572698238,30004,255,125,96,255,418384139,112,255,125,126
6,1761572698238,1761572698238,30005,0,125,255,0,419373295,0,125,125,255
6,1761572698238,1761572698238,30006,253,255,255,100,217056000,255,0,255,255
6,1761572698238,1761572698238,30007,225,255,255,0,419299536,255,3,255,255
6,1761572698238,1761572698238,30008,255,125,96,255,418384139,112,255,125,126
6,1761572698238,1761572698238,30011,0,72,255,255,202058448,255,255,255,255
6,1761572698238,1761572698238,30010,0,0,0,0,150892043,0,0,0,0
6,1761572698238,1761572698238,30009,255,255,255,111,419343920,111,255,255,255
6,1761572698218,1761572698218,29974,0,125,255,0,419373295,0,125,125,255
6,1761572698218,1761572698218,29975,253,255,255,100,217056000,255,0,255,255
6,1761572698218,1761572698218,29976,255,0,255,255,418382180,255,255,255,255
6,1761572698218,1761572698218,29977,162,140,75,14,217448864,40,8,1,0
6,1761572698218,1761572698218,29978,225,255,255,0,419299536,255,3,255,255
6,1761572698218,1761572698218,29979,255,125,96,255,418384139,112,255,125,126
6,1761572698218,1761572698218,29980,22,0,0,20,217450150,0,0,255,0
6,1761572698218,1761572698218,29981,0,170,128,0,217448871,132,128,0,23
6,1761572698218,1761572698218,29982,0,55,255,255,202058448,255,255,255,255
6,1761572698218,1761572698218,29983,0,125,255,0,419373295,0,125,125,255
6,1761572698218,1761572698218,29984,137,77,64,20,418644247,178,8,178,0
6,1761572698218,1761572698218,29985,48,37,255,255,201326603,250,255,255,255
6,1761572698218,1761572698218,29986,255,125,96,255,418384139,112,255,125,126
6,1761572698218,1761572698218,29987,255,255,255,111,419343920,111,255,255,255
6,1761572698218,1761572698218,29988,0,0,0,0,150892043,0,0,0,0
6,1761572698218,1761572698218,29989,14,85,255,0,217449893,74,1,0,0
6,1761572698218,1761572698218,29990,0,255,125,125,419348235,125,0,125,255
6,1761572698218,1761572698218,29991,0,243,1,255,418382091,255,0,255,255
6,1761572698218,1761572698218,29992,0,125,255,0,419373295,0,125,125,255
6,1761572698218,1761572698218,29993,193,255,255,255,419319563,255,0,255,255
6,1761572698218,1761572698218,29994,247,255,255,0,419361047,207,0,255,255
6,1761572698218,1761572698218,29995,0,255,254,0,419343627,0,0,254,255
6,1761572698218,1761572698218,29996,255,125,96,255,418384139,112,255,125,126
6,1761572698198,1761572698198,29934,0,125,255,0,419373295,0,125,125,255
6,1761572698198,1761572698198,29965,243,255,0,0,419351104,0,255,0,255
6,1761572698198,1761572698198,29936,36,7,0,11,418448336,0,39,0,208
6,1761572698198,1761572698198,29937,1,3,12,1,418448848,1,0,247,232
6,1761572698198,1761572698198,29938,84,16,0,160,418449104,255,20,0,0
6,1761572698198,1761572698198,29939,7,33,13,9,418515187,10,13,7,9
6,1761572698198,1761572698198,29940,102,240,245,0,217995840,0,0,211,255
6,1761572698198,1761572698198,29941,7,31,13,10,418515443,22,13,7,11
6,1761572698198,1761572698198,29942,63,0,33,130,418710000,2,61,255,0
6,1761572698198,1761572698198,29943,255,125,96,255,418384139,112,255,125,126
6,1761572698198,1761572698198,29935,68,173,0,0,418447824,0,0,0,1
6,1761572698198,1761572698198,29945,0,124,3,208,418710256,7,0,231,246
6,1761572698198,1761572698198,29946,0,19,0,0,418710512,0,0,0,136
6,1761572698198,1761572698198,29947,0,0,0,0,150892043,0,0,0,0
6,1761572698198,1761572698198,29948,0,3,12,0,418448592,0,56,248,232
6,1761572698198,1761572698198,29949,69,2,2,69,418515955,2,2,69,69
6,1761572698198,1761572698198,29950,0,0,0,0,418517235,0,0,0,0
6,1761572698198,1761572698198,29951,125,255,255,3,418710768,255,232,255,255
6,1761572698198,1761572698198,29952,51,126,126,30,419322176,126,126,18,44
6,1761572698198,1761572698198,29953,255,255,255,111,419343920,111,255,255,255
6,1761572698198,1761572698198,29954,204,116,255,125,217050891,255,250,255,255
6,1761572698198,1761572698198,29955,0,0,0,0,418517491,0,0,0,0
6,1761572698198,1761572698198,29956,247,255,255,0,419361024,207,0,255,255
6,1761572698198,1761572698198,29957,0,0,0,0,418517747,0,0,0,0
6,1761572698198,1761572698198,29958,0,125,255,0,419373295,0,125,125,255
6,1761572698198,1761572698198,29959,0,0,0,0,418518003,0,0,0,0
6,1761572698198,1761572698198,29960,255,125,96,255,418384139,112,255,125,126
6,1761572698198,1761572698198,29961,125,0,16,0,419325167,0,0,68,0
6,1761572698198,1761572698198,29962,108,255,18,73,408885235,81,9,69,255
6,1761572698198,1761572698198,29963,62,13,1,56,410982387,13,2,161,7
6,1761572698198,1761572698198,29964,0,125,255,0,419373295,0,125,125,255
6,1761572698198,1761572698198,29973,75,0,75,74,418518259,75,75,75,0
6,1761572698198,1761572698198,29966,0,141,101,0,217449378,0,0,0,0
6,1761572698198,1761572698198,29967,255,125,96,255,418384139,112,255,125,126
6,1761572698198,1761572698198,29968,244,128,255,255,418513907,4,255,0,255
6,1761572698198,1761572698198,29969,255,255,255,111,419343920,111,255,255,255
6,1761572698198,1761572698198,29970,1,24,255,73,418516723,69,55,255,255
6,1761572698198,1761572698198,29971,0,0,0,0,150892043,0,0,0,0
6,1761572698198,1761572698198,29972,0,255,255,255,419354928,255,255,255,255
6,1761572698198,1761572698198,29944,73,9,9,73,418515699,9,9,73,73
6,1761572698143,1761572698143,29914,0,125,255,0,419373295,0,125,125,255
6,1761572698143,1761572698143,29915,255,125,96,255,418384139,112,255,125,126
6,1761572698143,1761572698143,29916,0,125,255,0,419373295,0,125,125,255
