,vehicle_id,timestamp,dt,IST,ts_mins,total_battery_current,bat_voltage,gear_position,odometerreading,vehicle_speed_vcu,vehiclereadycondition,gun_connection_status,ignitionstatus,latitude,longitude,altitude,ground_speed_kmph,charger_proximity,dist_from_loc
17314,18,2025-09-21 05:11:15.559,2025-09-21,2025-09-21 10:41:15.559,2025-09-21 05:11:00,2.2,630.5,0.0,2846.5,0.0,0.0,0.0,1.0,29.549417,77.74753,256.6,0.0,NEAR_MZF,16.26
17315,18,2025-09-21 05:11:17.580,2025-09-21,2025-09-21 10:41:17.580,2025-09-21 05:11:00,2.0,630.6,0.0,2846.5,0.0,0.0,0.0,1.0,29.54942,77.74753,256.6,0.0,NEAR_MZF,16.27
17316,18,2025-09-21 05:11:19.619,2025-09-21,2025-09-21 10:41:19.619,2025-09-21 05:11:00,1.9,630.6,0.0,2846.5,0.0,0.0,0.0,1.0,29.54942,77.74753,256.5,0.0,NEAR_MZF,16.27
17317,18,2025-09-21 05:11:21.559,2025-09-21,2025-09-21 10:41:21.559,2025-09-21 05:11:00,1.7,630.7,0.0,2846.5,0.0,0.0,0.0,1.0,29.54942,77.74753,256.6,0.0,NEAR_MZF,16.27
17318,18,2025-09-21 05:11:22.799,2025-09-21,2025-09-21 10:41:22.799,2025-09-21 05:11:00,1.3,630.7,0.0,2846.5,0.0,0.0,0.0,1.0,29.54942,77.74753,256.6,0.0,NEAR_MZF,16.27
17319,18,2025-09-21 05:11:24.539,2025-09-21,2025-09-21 10:41:24.539,2025-09-21 05:11:00,0.0,630.8,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17320,18,2025-09-21 05:11:28.139,2025-09-21,2025-09-21 10:41:28.139,2025-09-21 05:11:00,0.0,630.8,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17321,18,2025-09-21 05:11:28.159,2025-09-21,2025-09-21 10:41:28.159,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17322,18,2025-09-21 05:11:30.619,2025-09-21,2025-09-21 10:41:30.619,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17323,18,2025-09-21 05:11:31.662,2025-09-21,2025-09-21 10:41:31.662,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17324,18,2025-09-21 05:11:32.699,2025-09-21,2025-09-21 10:41:32.699,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17325,18,2025-09-21 05:11:33.799,2025-09-21,2025-09-21 10:41:33.799,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17326,18,2025-09-21 05:11:34.839,2025-09-21,2025-09-21 10:41:34.839,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17327,18,2025-09-21 05:11:36.023,2025-09-21,2025-09-21 10:41:36.023,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17328,18,2025-09-21 05:11:37.199,2025-09-21,2025-09-21 10:41:37.199,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17329,18,2025-09-21 05:11:38.219,2025-09-21,2025-09-21 10:41:38.219,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17330,18,2025-09-21 05:11:39.379,2025-09-21,2025-09-21 10:41:39.379,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17331,18,2025-09-21 05:11:40.639,2025-09-21,2025-09-21 10:41:40.639,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17332,18,2025-09-21 05:11:41.599,2025-09-21,2025-09-21 10:41:41.599,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17333,18,2025-09-21 05:11:42.679,2025-09-21,2025-09-21 10:41:42.679,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
17334,18,2025-09-21 05:11:43.799,2025-09-21,2025-09-21 10:41:43.799,2025-09-21 05:11:00,,,0.0,2846.5,0.0,0.0,0.0,0.0,29.54942,77.74753,256.6,,NEAR_MZF,16.27
