,Departure_Index,vehicle_id,Trip,Departure_Time,Arrival_Time,ODO_Distance_km,TRAVEL_Time,Energy_Consumed_kWh,Regen_Energy_kWh,Idling_Energy_kWh,Net_Energy_kWh,Energy_Rate_kWh_per_km,HALT_Time,TOTAL_Time,GPS_Distance_km,Arrival_Index
71,995301,19,MZF-DDN,2025-09-23 23:01:07.433,2025-09-24 01:34:00.067,134.62,02:32:52,168.673,22.795,0.389,145.878,1.08,00:55:03,03:27:56,85.8,1000582
72,1010772,19,DDN-MZF,2025-09-24 05:09:03.327,2025-09-24 07:36:00.032,126.62,02:26:56,118.526,19.398,1.702,99.128,0.78,03:35:03,06:01:59,85.88,1016443
73,1016787,19,MZF-GGN,2025-09-24 08:21:05.392,2025-09-24 13:39:01.055,208.38,05:17:55,278.546,51.338,1.103,227.208,1.09,00:45:05,06:03:01,145.24,1024734
74,1027448,19,GGN-MZF,2025-09-24 15:41:10.698,2025-09-24 21:14:03.709,207.27,05:32:53,278.753,58.469,2.147,220.285,1.06,02:02:09,07:35:02,144.82,1034902
75,1035502,19,MZF-DDN,2025-09-24 21:52:03.549,2025-09-25 00:13:00.857,125.29,02:20:57,157.518,33.597,0.01,123.92,0.99,00:37:59,02:58:57,85.68,1040919
76,1050083,19,DDN-MZF,2025-09-25 04:59:03.598,2025-09-25 07:23:02.485,125.04,02:23:58,103.552,25.647,1.252,77.905,0.62,04:46:02,07:10:01,85.74,1055019
77,1055369,19,MZF-GGN,2025-09-25 08:06:03.145,2025-09-25 13:17:15.897,200.0,05:11:12,187.014,61.76,1.259,125.254,0.63,00:43:00,05:54:13,144.82,1061669
78,1064871,19,GGN-MZF,2025-09-25 15:07:07.820,2025-09-25 20:58:43.510,204.25,05:51:35,223.398,34.264,7.39,189.135,0.93,01:49:51,07:41:27,145.16,1071712
79,1083534,19,MZF-DDN,2025-09-26 02:18:11.131,2025-09-26 04:33:03.274,125.38,02:14:52,147.623,26.852,0.703,120.771,0.96,05:19:27,07:34:19,85.62,1088027
80,1093015,19,DDN-MZF,2025-09-26 06:48:00.372,2025-09-26 09:29:09.522,124.8,02:41:09,103.976,25.254,4.861,78.722,0.63,02:14:57,04:56:06,85.72,1098815
81,1099232,19,MZF-GGN,2025-09-26 10:09:02.362,2025-09-26 15:35:09.840,199.5,05:26:07,240.844,39.706,0.421,201.138,1.01,00:39:52,06:06:00,145.46,1105851
82,1109334,19,GGN-MZF,2025-09-26 17:31:11.454,2025-09-26 23:59:00.534,207.88,06:27:49,187.648,79.038,4.092,108.61,0.52,01:56:01,08:23:50,145.02,1118027
83,1118316,19,MZF-DDN,2025-09-27 00:50:09.339,2025-09-27 03:03:50.211,125.5,02:13:40,146.941,25.372,2.053,121.569,0.97,00:51:08,03:04:49,85.56,1122343
84,1128477,19,DDN-MZF,2025-09-27 05:12:02.931,2025-09-27 07:46:22.555,127.08,02:34:19,99.333,23.354,1.423,75.979,0.6,02:08:12,04:42:32,85.82,1133788
85,1135395,19,MZF-GGN,2025-09-27 08:34:08.275,2025-09-27 13:28:03.969,199.88,04:53:55,164.759,141.417,0.62,23.342,0.12,00:47:45,05:41:41,144.79,1139549
86,1144005,19,GGN-MZF,2025-09-27 15:56:00.189,2025-09-27 21:45:02.052,203.43,05:49:01,278.103,35.147,4.065,242.956,1.19,02:27:56,08:16:58,144.76,1150282
